SP_ID,SPerson,SPRegion
1,Iliana Gill,Northern
2,Matthias Keller,Northern
3,Logan Brewer,SouthWestern
4,Cruz Mahoney,Northern
5,Promise Reese,Southern
6,Alijah Browning,Northern
7,Princess Nicholson,Western
8,Rodrigo Clay,SouthWestern
9,Aliana Farmer,Western
10,Jamison Thomas,SouthWestern
11,Elizabeth Alexander,Southern
12,Kingston Villalobos,Western
13,Zoya Nash,SouthWestern
14,Chandler Carpenter,Western
15,Lilly Mitchell,Western
16,Jaxon Barnett,SouthWestern
17,Harlow Pace,Northern
18,Dior Gallagher,Southern
19,Elliott Newton,Southern
20,Santino Osborne,SouthWestern
21,Shelby Solomon,Western
22,Musa Andrade,Northern
23,Emmy Glass,Western
24,Allan Marsh,Western
25,Adelina Rosales,Southern
26,Wilder Fitzgerald,Southern
27,Marlee Figueroa,Northern
28,Spencer Maddox,SouthWestern
